題目,選項A,選項B,選項C,選項D,正確答案,詳解,分類
地球磁場的倒轉與極性變化，主要與地球內部哪一個圈層的流體動力機制（發電機學說）有關？,固態的內核,液態的外核,軟流圈的熱對流,地殼的岩漿活動,B,根據發電機學說，地球液態外核中富含鐵鎳等導電金屬流體，其熱對流與科氏力作用產生了電流，進而引發感應磁場。這本質上是流體力學與電磁學在地球內部的綜合展現。,地質
在北半球高空，當氣壓梯度力與科氏力達到平衡時所吹的風稱為地轉風。請問若不考慮摩擦力，高空氣流會如何沿著等壓線運動？,垂直等壓線，由高壓流向低壓,平行等壓線，高壓在氣流前進方向的右側,平行等壓線，高壓在氣流前進方向的左側,呈螺旋狀向低壓中心輻合,B,北半球科氏力會使運動中的流體向右偏轉。當氣壓梯度力（推向低壓）與科氏力（向右偏）大小相等、方向相反時達到平衡，此時氣流會平行於等壓線前進，且順著風向看，高壓會在右側。,大氣
驅動全球海洋深層「溫鹽環流 (Thermohaline circulation)」下沉的主要物理機制為何？,赤道地區的強烈日照造成海水膨脹下沉,極區海水結冰析出鹽分，使剩餘海水密度大增而下沉,湧升流將深層富含營養鹽的海水帶至表層後因重力回落,海底火山熱對流加熱底層海水產生垂直交換,B,溫鹽環流是因密度差異驅動的流體運動。在北大西洋極區，海水溫度極低且因海冰形成（結冰過程會排除鹽分）導致表面海水鹽度升高，整體密度大幅增加而下沉，成為驅動全球深層洋流的馬達。,海洋
觀察遙遠星系的恆星光譜時，發現其光譜線皆往波長較長的方向偏移（紅移現象）。根據都卜勒效應，這代表什麼物理意義？,該星系正在遠離我們,該星系正在靠近我們,該星系的溫度正在急遽下降,該星系的重力場正在急遽增強,A,就像救護車遠離時警報聲頻率變低（波長變長）一樣，光波的都卜勒效應顯示，當光源遠離觀測者時，觀測到的波長會變長，在可見光譜中即為向紅光端偏移（紅移），這是宇宙膨脹的重要觀測證據。,天文
地震發生時，測站會接收到 P 波與 S 波。但在角距離 103 度至 142 度的區域卻幾乎接收不到直接傳遞的 P 波與 S 波（陰影區）。造成 P 波陰影區的主要原因為何？,P波被地函完全吸收,P波在核函邊界發生劇烈折射,P波無法在液態外核中傳播,P波在軟流圈發生全反射,B,S波陰影區是因為S波無法穿透液態外核；而P波雖能穿透液態外核，但由於波速在外核突然下降，導致射線在核函邊界發生劇烈折射而向內偏折，進而在地表形成接收不到直接 P波的環狀陰影區。,地質
關於板塊構造學說中的「轉形斷層（Transform fault）」，下列敘述何者精確？,屬於正斷層的一種，常伴隨深層地震,僅存在於中洋脊兩側，不會延伸至大陸板塊,其兩側板塊的運動方向相反，且多為淺層地震,會產生大量的安山岩質岩漿活動,C,轉形斷層是平移斷層的一種，兩側板塊水平錯動，且因為錯動發生在較薄、較脆的岩石圈表層，因此地震幾乎都屬於淺源地震（深度小於70公里），且不伴隨岩漿活動。,地質
在鑑定礦物時，「解理」是極重要的物理特徵。雲母具有極佳的單向解理，而石英則完全沒有解理，僅有斷口。造成兩者差異的根本物理機制為何？,雲母含有金屬鍵，而石英僅有共價鍵,雲母的矽酸鹽四面體呈片狀排列，層間鍵結極弱；石英為3D網狀結構，各方向鍵結強度一致,石英的硬度高於雲母，因此無法破裂,雲母在結晶時受到的壓力大於石英,B,解理是礦物受力後沿著內部原子鍵結較弱的平面破裂的現象。雲母是片狀矽酸鹽，層與層之間靠微弱的凡得瓦力結合；石英則是網狀矽酸鹽，各個方向的共價鍵強度相當，因此受力只會產生不規則斷口。,地質
科學家常利用有孔蟲殼體中的氧同位素比值（18O / 16O）來推測古氣候。當地球處於「冰期（Glacial period）」時，深海沉積物中有孔蟲殼體的氧同位素比值會有何變化？,變大，因為富含 16O 的水被鎖在兩極冰川中,變小，因為富含 18O 的水被蒸發到大氣中,變大，因為深海水溫升高增加了 18O 的溶解度,不變，氧同位素比值僅受海水鹽度影響,A,16O 較輕，容易蒸發。在冰期，富含 16O 的水氣降雪後被鎖在陸地冰川中，無法流回海洋，導致海水中較重的 18O 比例相對升高。因此底棲有孔蟲吸收海水碳酸鈣造殼時，其 18O/16O 比值會偏高。,地質
斯堪地那維亞半島目前正以每年幾毫米的速度持續上升。此現象最適當的地質學解釋為何？,歐亞板塊與北美板塊正在劇烈擠壓,中洋脊的熱力膨脹效應擴散至該區域,上次冰河期結束後，冰帽融化導致地殼重量減輕，軟流圈物質回流使地殼達成地殼均衡（Isostasy）反彈,該地底下的熱柱（Mantle plume）活動正在增強,C,這是經典的「地殼均衡說」實例。冰河期時厚重的冰層壓迫地殼陷落；冰層融化後，移除負載的地殼為了恢復靜力平衡，會緩慢向上反彈（Glacial isostatic adjustment）。,地質
氣塊在上升過程中，若未達飽和，會依循乾絕熱遞減率（約 10°C/km）降溫；一旦達到飽和，則會依循濕絕熱遞減率（約 5~6°C/km）降溫。導致兩者數值差異的熱力學機制為何？,飽和後水氣凝結成液態水，釋放潛熱抵銷了部分因膨脹而下降的溫度,飽和氣塊的密度較大，上升速度變慢，降溫隨之減緩,水滴的比熱大於空氣，因此降溫較慢,飽和後氣壓梯度力減弱，導致絕熱膨脹效應降低,A,絕熱膨脹本身會讓氣塊降溫，但水氣從氣態變成液態（凝結）是一個放熱過程。這股釋放出來的潛熱（Latent heat）會加熱氣塊，抵銷掉一部分因膨脹造成的降溫，因此濕絕熱遞減率小於乾絕熱遞減率。,大氣
